Connect;ВСЬОГО;ТЯЖКІ ТА О.ТЯЖКІ;ВБИВСТВО;УМИСНЕ ТЯЖ ТІЛ УШКОДЖЕННЯ;ТЯЖ ТІЛ УШКОДЖ ЗІ СМЕРТ. НАСЛ.;ЗГВАЛТУВАННЯ;КРАДІЖКА;ГРАБІЖ;РОЗБІЙ;ВИМАГАННЯ;ШАХРАЙСТВО;ЗАВОЛОД Т/З;ХУЛІГАНСТВО
Киев УЛ. БИКОВА 12;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. БОЖЕНКО .;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. БОЖЕНКО 0;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. БОЖЕНКО 2;2;1;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. БОЖЕНКО 6;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. БОЖЕНКО 8;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. БОТКИНА 3;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. БОТКИНА 4;1;1;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. ВАЩЕНКА 3;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ВАЩЕНКО 1;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ВЕРХНИЙ 5;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ВЕРХНЯЯ 3;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ВЕРХНЯЯ 5;4;0;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. ГАЕВАЯ 14;2;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. ГЕРЦЕАН 9;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. ГЕРЦЕНА 0;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГЕРЦЕНА 1;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ГЕРЦЕНА 2;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГЕРЦЕНА 7;3;1;0;0;0;0;0;0;0;0;3;0;0
Киев УЛ. ГЕРЦЕНА 8;2;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ГЕРЦЕНА 9;1671;354;0;1;0;0;233;21;0;3;515;2;10
Киев УЛ. ГЕРЦИНА 9;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ГЛЕБОВА 2;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГОГОЛЯ 23;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ГОГОЛЯ 34;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГРИШКА 10;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ГРИШКА 3А;3;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. ГРИШКА 8А;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ГРИШКА 8Б;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ГРИШКА 8В;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ДАРВИНА 1;2;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ДАРВИНА 2;1;0;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. ДАРВИНА 4;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ДАРВИНА 5;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ДЯЧЕНКО 6;2;1;0;0;0;0;1;1;0;0;0;0;0
Киев УЛ. ЕРМАКА 21;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ЗЕЛЕНАЯ 2;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ЗЕЛЕНАЯ 4;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 10;2;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 12;3;0;0;0;0;0;2;1;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 14;3;0;0;0;0;0;0;2;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 16;2;1;0;0;0;0;1;1;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 18;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 20;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. ЗОДЧИХ 22;5;0;0;0;0;0;3;1;0;0;1;0;0
Киев УЛ. ЗОДЧИХ 24;3;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 28;3;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 30;10;1;0;0;0;0;3;2;0;0;3;0;0
Киев УЛ. ЗОДЧИХ 32;2;0;0;0;0;0;0;0;0;0;0;1;0
Киев УЛ. ЗОДЧИХ 34;9;0;0;0;0;0;5;1;0;0;1;0;0
Киев УЛ. ЗОДЧИХ 36;8;2;0;0;0;0;7;0;0;0;1;0;0
Киев УЛ. ЗОДЧИХ 38;6;1;0;0;0;0;6;0;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 40;3;0;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 42;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ЗОДЧИХ 44;9;2;0;0;0;0;5;0;0;0;1;0;1
Киев УЛ. ЗОДЧИХ 46;9;0;0;0;0;0;5;0;0;0;3;0;0
Киев УЛ. ЗОДЧИХ 48;1;0;0;0;0;0;0;0;0;0;0;0;0
